"","clade","mup_0","eps_0"
"1","Birds",-0.135066238809373,0.364878529160242
"2","Birds",-0.266695985092467,0.396484596552451
"3","Birds",-0.156537016951887,0.425212358137237
"4","Birds",-0.296071264903886,0.410870225403486
"5","Birds",-0.0977626348548431,0.377912878252768
"6","Birds",-0.104737589499095,0.359452740707723
"7","Birds",-0.1029420905721,0.427689817014144
"8","Birds",-0.157997653202724,0.307962091346233
"9","Birds",0.00629971390946096,0.391323638273884
"10","Birds",-0.102597462575949,0.385717603041267
