"","clade","mup_0","eps_0"
"1","Mammals",-0.991260851559564,0.661430415208195
"2","Mammals",-0.717207753720231,0.658034034553102
"3","Mammals",-1.38861856469739,0.680505058549029
"4","Mammals",-0.925279758522264,0.665768798376778
"5","Mammals",-0.869684738878313,0.670605406312927
"6","Mammals",-1.3043810576934,0.654713178091157
"7","Mammals",-1.36469182149205,0.655236419809609
"8","Mammals",-0.985033171792066,0.671310443838631
"9","Mammals",-0.996720515692188,0.648538797667822
"10","Mammals",-0.387600416568002,0.669619175463254
