"","clade","mup_0","eps_0"
"1","Sharks",-0.0694456429260933,0.377222245466912
"2","Sharks",-0.0626967501564964,0.593446892123006
"3","Sharks",-0.0758462581251513,0.331141799707314
"4","Sharks",-0.0779251519349636,0.386490459670689
"5","Sharks",-0.0946348872455326,0.343017416068282
"6","Sharks",-0.0756407366710003,0.34108006249069
"7","Sharks",-0.106503010903342,0.306256467141112
"8","Sharks",-0.0633806767754348,0.59326828510784
"9","Sharks",-0.0621962489914642,0.593594086244991
"10","Sharks",-0.0987740289951653,0.379389346234013
