"","clade","mup_0","eps_0"
"1","Amphibians",-0.0778541161408153,0.532936202713881
"2","Amphibians",-0.0503385311574263,0.522905398922377
"3","Amphibians",-0.072097836231769,0.497391475506449
"4","Amphibians",-0.105372370336064,0.507054555614047
"5","Amphibians",-0.0234376123621845,0.517053233953722
"6","Amphibians",-0.0502849976663722,0.515785825572913
"7","Amphibians",-0.041027022148164,0.534220134156899
"8","Amphibians",0.040597498111871,0.534124346476537
"9","Amphibians",-0.0280272560069215,0.506997592310217
"10","Amphibians",-0.0308206738519003,0.471128448173471
